n_estimators,learning_rate,max_depth,max_features,RMSE_P-wave_mean,RMSE_P-wave_std,RMSE_Set1_mean,RMSE_Set1_std,RMSE_Set2_mean,RMSE_Set2_std,RMSE_Set3_mean,RMSE_Set3_std,RMSE_Set4_mean,RMSE_Set4_std,R2_P-wave_mean,R2_P-wave_std,R2_Set1_mean,R2_Set1_std,R2_Set2_mean,R2_Set2_std,R2_Set3_mean,R2_Set3_std,R2_Set4_mean,R2_Set4_std
500,0.01,3,all,230.22326862381655,41.52139277012872,226.79516613763667,33.64540221272076,206.98879325305822,30.750155553058306,207.51264813627142,38.96873214276716,206.14810491412652,34.26428019760336,0.1789177746449105,0.3681932634336057,0.2178716046456332,0.28798607739678356,0.35317789745003625,0.18948516334129695,0.34297466892219164,0.2679050406972682,0.3583581435604094,0.19666123155541632
500,0.01,5,2,230.22326862381655,41.52139277012872,230.6436605131947,32.263386686411394,209.55679726089696,32.193991327029934,208.99799258242422,37.08696860596863,204.8616385835093,34.538567369828876,0.1789177746449105,0.3681932634336057,0.1905782838480063,0.28545009686473805,0.34309347974618787,0.1735576259114039,0.33637339297519525,0.25200506440062037,0.3709730496149398,0.1897049339266833
500,0.01,5,4,230.22326862381655,41.52139277012872,233.04363430586895,32.30448365143187,214.3611035637262,31.853007415318533,204.93396415703748,38.82483243931179,204.64459284744513,32.19719099646175,0.1789177746449105,0.3681932634336057,0.17310514789624962,0.29213645644373315,0.30982759293786816,0.1865952972388464,0.36206674372739434,0.24720021188079444,0.37030134325800795,0.1886865273859916
500,0.01,5,all,230.22326862381655,41.52139277012872,234.2202803120122,32.14488475948926,221.5273379919003,35.15168924529201,206.74990323529593,39.30345301562207,207.71341898442276,32.88208350856884,0.1789177746449105,0.3681932634336057,0.16531255544131965,0.2893239377838729,0.2599676965927621,0.21552224337466397,0.3529654432544055,0.23361908980300936,0.35252800197992973,0.17745360658756484
500,0.01,7,2,230.22326862381655,41.52139277012872,236.28346455604554,31.360320419719525,213.25247092005404,31.791120040879,208.66189208457268,36.599570694898084,203.90105984136048,33.088034258559155,0.1789177746449105,0.3681932634336057,0.14847528095523177,0.2997370765711234,0.3183386300280224,0.18108703584856026,0.33921411148889374,0.2439077946997643,0.3769799755312201,0.1819391374974547
500,0.01,7,4,230.22326862381655,41.52139277012872,238.6699210296743,31.441176953826943,220.83559318549177,31.905325115790276,206.1158400553978,38.71726382429037,205.10948974552528,31.12007600796005,0.1789177746449105,0.3681932634336057,0.13095720888721366,0.3032007885374058,0.266292556308763,0.19860682269080293,0.35501322996261486,0.2436967754274468,0.3685829435509592,0.17951892353219598
500,0.01,7,all,230.22326862381655,41.52139277012872,240.95401546960522,32.139016486176374,229.90990794680897,34.18248562285443,210.01958671479173,42.18562446742705,215.54509921109843,34.305376287105815,0.1789177746449105,0.3681932634336057,0.11452023487860791,0.30870474344533694,0.2004120447540959,0.23925615400142458,0.33191359883518134,0.260251887024346,0.3020398883043315,0.2001284374566293
500,0.01,9,2,230.22326862381655,41.52139277012872,240.4111317214902,31.080399603123297,214.51293494012913,32.03757430095877,209.73230065089194,36.869632774905966,204.2455225333448,33.17627857898672,0.1789177746449105,0.3681932634336057,0.1180500045287657,0.30677226764598003,0.30932018419386204,0.18716688662648354,0.3334293368312442,0.24151805161482684,0.3752718966733804,0.18048064895005841
500,0.01,9,4,230.22326862381655,41.52139277012872,243.648939715606,30.943163250060838,220.8928020112423,31.228114872727247,207.64739954735077,39.001666949155656,206.4482344245605,31.055982412092934,0.1789177746449105,0.3681932634336057,0.09395331305904414,0.3129426904250605,0.2669638336610158,0.19256705019696532,0.3462430349079777,0.2455822283536991,0.36258338798859646,0.16843432491943824
500,0.01,9,all,230.22326862381655,41.52139277012872,246.44845436361587,31.76533565316992,232.6854670504233,34.215174742449435,213.67424877021654,41.87259122553578,225.32245134096667,32.58328249995713,0.1789177746449105,0.3681932634336057,0.07236650917786981,0.32279404615375656,0.18054303051676995,0.2403682029329693,0.3058677479404477,0.28265004070560074,0.22776161437008205,0.2507743797716268
500,0.1,2,2,230.22326862381655,41.52139277012872,234.98859098504414,30.44561026068323,218.23514946090486,37.16016196807583,211.493439274539,39.570488873723484,218.00720891316058,43.531181347642445,0.1789177746449105,0.3681932634336057,0.1584029566224456,0.28569685175337717,0.2924365310104539,0.18358912932078625,0.3184967818972035,0.2777907600871769,0.28852765906938593,0.24049139890093557
500,0.1,2,4,230.22326862381655,41.52139277012872,237.40361598846386,29.97489440727969,225.01386744709583,41.020055923631205,209.11870872921943,43.504162200895905,220.58276996288635,44.117768019591686,0.1789177746449105,0.3681932634336057,0.14010509863722465,0.2917964529134584,0.248407247428329,0.2003074165121452,0.340560391593655,0.25532226862074875,0.2735974833274459,0.23668111698649097
